ObservationId,TextUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team3.1,[TextUrn]@τ[1],τ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.2163,0.4247,0.0163,0.0113",tau
urn:cite:openpal:team3.2,[TextUrn]@ο[1],ο,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.2276,0.4237,0.0101,0.0113",omicron
urn:cite:openpal:team3.3,[TextUrn]@υ[1],υ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.2364,0.4237,0.0101,0.0104",upsilon
urn:cite:openpal:team3.4,[TextUrn]@κ[1],κ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.2464,0.419,0.0151,0.0151",kappa
urn:cite:openpal:team3.5,[TextUrn]@ω[1],ω,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.2603,0.4219,0.0151,0.0132",omega
urn:cite:openpal:team3.6,[TextUrn]@ν[1],ν,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.2728,0.4219,0.0163,0.016",nu
urn:cite:openpal:team3.7,[TextUrn]@ο[2],ο,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.2854,0.4219,0.0101,0.0113",omicron
urn:cite:openpal:team3.8,[TextUrn]@υ[2],υ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.2942,0.4209,0.0126,0.0123",upsilon
urn:cite:openpal:team3.9,[TextUrn]@κ[2],κ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.308,0.4143,0.0138,0.0179",kappa
urn:cite:openpal:team3.10,[TextUrn]@α[1],α,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3193,0.419,0.0126,0.0132",alpha
urn:cite:openpal:team3.11,[TextUrn]@ι[1],ι,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3281,0.42,0.0113,0.0123",iota
urn:cite:openpal:team3.12,[TextUrn]@τ[2],τ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3382,0.42,0.0126,0.0123",tau
urn:cite:openpal:team3.13,[TextUrn]@η[1],η,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3482,0.4153,0.0126,0.017",eta
urn:cite:openpal:team3.14,[TextUrn]@σ[1],σ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3583,0.4209,0.0163,0.0113",sigma
urn:cite:openpal:team3.15,[TextUrn]@ε[1],ε,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3746,0.4162,0.0138,0.016",epsilon
urn:cite:openpal:team3.16,[TextUrn]@κ[3],κ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3872,0.4143,0.0138,0.0179",kappa
urn:cite:openpal:team3.17,[TextUrn]@τ[3],τ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.3973,0.419,0.0138,0.0113",tau
urn:cite:openpal:team3.18,[TextUrn]@ο[3],ο,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.4061,0.42,0.0126,0.0104",omicron
urn:cite:openpal:team3.19,[TextUrn]@υ[3],υ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.4149,0.42,0.0113,0.0104",upsilon
urn:cite:openpal:team3.20,[TextUrn]@κ[4],κ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.4287,0.4143,0.0113,0.016",kappa
urn:cite:openpal:team3.21,[TextUrn]@ε[2],ε,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.4375,0.4143,0.0151,0.0132",epsilon
urn:cite:openpal:team3.22,[TextUrn]@ν[2],ν,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.4513,0.419,0.0101,0.0132",nu
urn:cite:openpal:team3.#,[TextUrn]@#[1],,"",
urn:cite:openpal:team3.23,[TextUrn]@ο[4],ο,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.2351,0.4435,0.0101,0.0132",omicron
urn:cite:openpal:team3.24,[TextUrn]@υ[4],υ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.2427,0.4435,0.0113,0.0132",upsilon
urn:cite:openpal:team3.25,[TextUrn]@τ[4],τ,"urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.2565,0.4426,0.0101,0.0141",tau
