ObservationId,TextUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team3.1,urn:cts:greekLit:tlg0012.tlg001.bmpap114:24.559@τ[1],τ,"urn:cite:hmt:bmpap114.114_5@0.2473,0.7698,0.0084,0.0122",tau
urn:cite:openpal:team3.2,urn:cts:greekLit:tlg0012.tlg001.bmpap114:24.559@ο[1],ο,"urn:cite:hmt:bmpap114.114_5@0.2533,0.7698,0.0084,0.0122",omicron
urn:cite:openpal:team3.3,urn:cts:greekLit:tlg0012.tlg001.bmpap114:24.559@ν[1],ν,"urn:cite:hmt:bmpap114.114_5@0.2606,0.7698,0.0098,0.0122",nu
urn:cite:openpal:team3.4,urn:cts:greekLit:tlg0012.tlg001.bmpap114:24.559@δ[1],δ,"urn:cite:hmt:bmpap114.114_5@0.2694,0.7698,0.0102,0.0122",delta
urn:cite:openpal:team3.5,urn:cts:greekLit:tlg0012.tlg001.bmpap114:24.559@α[1],α,"urn:cite:hmt:bmpap114.114_5@0.2768,0.7684,0.0091,0.0122",alpha
urn:cite:openpal:team3.6,urn:cts:greekLit:tlg0012.tlg001.bmpap114:24.559@ρ[1],ρ,"urn:cite:hmt:bmpap114.114_5@0.2831,0.7684,0.007,0.0122",rho
urn:cite:openpal:team3.7,urn:cts:greekLit:tlg0012.tlg001.bmpap114:24.559@υ[1],υ,"urn:cite:hmt:bmpap114.114_5@0.2877,0.7684,0.0088,0.0122",upsilon
urn:cite:openpal:team3.8,urn:cts:greekLit:tlg0012.tlg001.bmpap114:24.559@π[1],π,"urn:cite:hmt:bmpap114.114_5@0.2936,0.7684,0.0112,0.0122",pi
urn:cite:openpal:team3.9,urn:cts:greekLit:tlg0012.tlg001.bmpap114:24.559@ο[2],ο,"urn:cite:hmt:bmpap114.114_5@0.3034,0.7703,0.0084,0.0112",omicron
urn:cite:openpal:team3.10,urn:cts:greekLit:tlg0012.tlg001.bmpap114:24.559@δ[2],δ,"urn:cite:hmt:bmpap114.114_5@0.3091,0.7703,0.0088,0.0112",delta
urn:cite:openpal:team3.11,urn:cts:greekLit:tlg0012.tlg001.bmpap114:24.559@ρ[2],ρ,"urn:cite:hmt:bmpap114.114_5@0.3164,0.7703,0.0049,0.0112",rho
urn:cite:openpal:team3.12,urn:cts:greekLit:tlg0012.tlg001.bmpap114:24.559@α[2],α,"urn:cite:hmt:bmpap114.114_5@0.3199,0.7703,0.0088,0.0112",alpha
urn:cite:openpal:team3.13,urn:cts:greekLit:tlg0012.tlg001.bmpap114:24.559@ι[1],ι,"urn:cite:hmt:bmpap114.114_5@0.3263,0.7703,0.0063,0.0112",iota
urn:cite:openpal:team3.14,urn:cts:greekLit:tlg0012.tlg001.bmpap114:24.559@δ[3],δ,"urn:cite:hmt:bmpap114.114_5@0.3294,0.7703,0.0091,0.0112",delta
