ObservationId,TextUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team3.1,[TextUrn]@τ[1],τ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7527,0.4591,0.0176,0.0104",tau
urn:cite:openpal:team3.2,[TextUrn]@ο[1],ο,"urn:cite:ecod:codbod8.cb-0008_015v@0.7677,0.4591,0.0088,0.0104",omicron
urn:cite:openpal:team3.3,[TextUrn]@υ[1],υ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7752,0.4591,0.0125,0.0113",upsilon
urn:cite:openpal:team3.4,[TextUrn]@κ[1],κ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7903,0.4591,0.0138,0.0113",kappa
urn:cite:openpal:team3.5,[TextUrn]@ώ[1],ώ,"urn:cite:ecod:codbod8.cb-0008_015v@0.8028,0.4525,0.0188,0.018",omega with acute
urn:cite:openpal:team3.6,[TextUrn]@ν[1],ν,"urn:cite:ecod:codbod8.cb-0008_015v@0.8191,0.4572,0.0113,0.0132",nu
urn:cite:openpal:team3.7,[TextUrn]@ο[2],ο,"urn:cite:ecod:codbod8.cb-0008_015v@0.8292,0.4572,0.01,0.0132",omicron
urn:cite:openpal:team3.8,[TextUrn]@υ[2],υ,"urn:cite:ecod:codbod8.cb-0008_015v@0.8379,0.4572,0.0125,0.0161",upsilon
urn:cite:openpal:team3.9,[TextUrn]@καὶ[1],καὶ,"urn:cite:ecod:codbod8.cb-0008_015v@0.868,0.4572,0.0263,0.0161",καὶ abbreviation
urn:cite:openpal:team3.10,[TextUrn]@τ[2],τ,"urn:cite:ecod:codbod8.cb-0008_015v@0.8919,0.461,0.0188,0.0123",tau
urn:cite:openpal:team3.11,[TextUrn]@η[1],η,"urn:cite:ecod:codbod8.cb-0008_015v@0.8981,0.4534,0.0113,0.0104",eta
urn:cite:openpal:team3.12,[TextUrn]@σ[1],σ,"urn:cite:ecod:codbod8.cb-0008_015v@0.9082,0.4525,0.01,0.0132",sigma
urn:cite:openpal:team3.13,[TextUrn]@ε[1],ε,"urn:cite:ecod:codbod8.cb-0008_015v@0.715,0.4808,0.0125,0.0132",epsilon
urn:cite:openpal:team3.14,[TextUrn]@κ[2],κ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7238,0.4808,0.0176,0.0132",kappa
urn:cite:openpal:team3.15,[TextUrn]@τ[3],τ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7338,0.4704,0.0238,0.0236",tau
urn:cite:openpal:team3.16,[TextUrn]@ο[3],ο,"urn:cite:ecod:codbod8.cb-0008_015v@0.7489,0.4818,0.01,0.0113",omicron
urn:cite:openpal:team3.17,[TextUrn]@υ[3],υ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7564,0.4818,0.0113,0.0132",upsilon
urn:cite:openpal:team3.18,[TextUrn]@κεν[1],κεν,"urn:cite:ecod:codbod8.cb-0008_015v@0.7727,0.4704,0.0351,0.0236",kappa-epsilon-nu ligature
urn:cite:openpal:team3.19,[TextUrn]@τ[4],τ,"urn:cite:ecod:codbod8.cb-0008_015v@0.8129,0.4808,0.0113,0.0113",tau
urn:cite:openpal:team3.20,[TextUrn]@ρ[1],ρ,"urn:cite:ecod:codbod8.cb-0008_015v@0.8204,0.4808,0.01,0.017",rho
urn:cite:openpal:team3.21,[TextUrn]@ο[4],ο,"urn:cite:ecod:codbod8.cb-0008_015v@0.8317,0.4799,0.0088,0.0113",omicron
urn:cite:openpal:team3.22,[TextUrn]@υ[4],υ,"urn:cite:ecod:codbod8.cb-0008_015v@0.8392,0.4799,0.01,0.0113",upsilon
urn:cite:openpal:team3.23,[TextUrn]@τ[5],τ,"urn:cite:ecod:codbod8.cb-0008_015v@0.8605,0.4799,0.0188,0.0113",tau
urn:cite:openpal:team3.24,[TextUrn]@ο[5],ο,"urn:cite:ecod:codbod8.cb-0008_015v@0.8756,0.4808,0.0113,0.0104",omicron
urn:cite:openpal:team3.25,[TextUrn]@υ[5],υ,"urn:cite:ecod:codbod8.cb-0008_015v@0.8843,0.4808,0.0138,0.018",upsilon
urn:cite:openpal:team3.26,[TextUrn]@κ[3],κ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7163,0.5016,0.0151,0.0113",kappa
urn:cite:openpal:team3.27,[TextUrn]@ύ[1],ύ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7288,0.4941,0.0113,0.0208",upsilon with acute
urn:cite:openpal:team3.28,[TextUrn]@κ[4],κ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7376,0.5016,0.0188,0.0132",kappa
urn:cite:openpal:team3.29,[TextUrn]@λ[1],λ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7514,0.4997,0.0238,0.0189",lambda
urn:cite:openpal:team3.30,[TextUrn]@ο[6],ο,"urn:cite:ecod:codbod8.cb-0008_015v@0.7664,0.5026,0.0125,0.0095",omicron
urn:cite:openpal:team3.31,[TextUrn]@υ[6],υ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7777,0.5016,0.0125,0.0104",upsilon
urn:cite:openpal:team3.32,[TextUrn]@ο[7],ο,"urn:cite:ecod:codbod8.cb-0008_015v@0.8129,0.5026,0.0113,0.0104",omicron
urn:cite:openpal:team3.33,[TextUrn]@σ[2],σ,"urn:cite:ecod:codbod8.cb-0008_015v@0.8241,0.5016,0.0125,0.0113",sigma
urn:cite:openpal:team3.34,[TextUrn]@εστ[1],εστ,"urn:cite:ecod:codbod8.cb-0008_015v@0.8417,0.4912,0.0263,0.0265",epsilon-sigma-tau ligature
urn:cite:openpal:team3.35,[TextUrn]@ι[1],ι,"urn:cite:ecod:codbod8.cb-0008_015v@0.8618,0.5026,0.0138,0.0151",iota
urn:cite:openpal:team3.36,[TextUrn]@β[1],β,"urn:cite:ecod:codbod8.cb-0008_015v@0.8756,0.5026,0.0188,0.0151",beta
urn:cite:openpal:team3.37,[TextUrn]@α[1],α,"urn:cite:ecod:codbod8.cb-0008_015v@0.8931,0.5026,0.0201,0.0151",alpha
urn:cite:openpal:team3.38,[TextUrn]@σ[3],σ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7125,0.5234,0.0188,0.0151",sigma
urn:cite:openpal:team3.39,[TextUrn]@ι[2],ι,"urn:cite:ecod:codbod8.cb-0008_015v@0.7301,0.5234,0.0075,0.0113",iota
urn:cite:openpal:team3.40,[TextUrn]@σ[4],σ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7351,0.5253,0.0151,0.0104",sigma
urn:cite:openpal:team3.41,[TextUrn]@τ[6],τ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7514,0.5253,0.0176,0.0123",tau
urn:cite:openpal:team3.42,[TextUrn]@ο[8],ο,"urn:cite:ecod:codbod8.cb-0008_015v@0.7652,0.5253,0.01,0.0123",omicron
urn:cite:openpal:team3.43,[TextUrn]@υ[7],υ,"urn:cite:ecod:codbod8.cb-0008_015v@0.774,0.5253,0.0113,0.0142",upsilon
urn:cite:openpal:team3.44,[TextUrn]@κ[5],κ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7853,0.5253,0.0151,0.0095",kappa
urn:cite:openpal:team3.45,[TextUrn]@ώ[2],ώ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7978,0.5186,0.0163,0.0161",omega with acute
urn:cite:openpal:team3.46,[TextUrn]@ν[2],ν,"urn:cite:ecod:codbod8.cb-0008_015v@0.8103,0.5253,0.0125,0.0104",nu
urn:cite:openpal:team3.47,[TextUrn]@ο[9],ο,"urn:cite:ecod:codbod8.cb-0008_015v@0.8204,0.5253,0.01,0.0104",omicron
urn:cite:openpal:team3.48,[TextUrn]@υ[8],υ,"urn:cite:ecod:codbod8.cb-0008_015v@0.8292,0.5253,0.0138,0.0132",upsilon
urn:cite:openpal:team3.49,[TextUrn]@εστ[2],εστ,"urn:cite:ecod:codbod8.cb-0008_015v@0.8655,0.5167,0.0288,0.0246",epsilon-sigma-tau ligature
urn:cite:openpal:team3.50,[TextUrn]@ω[1],ω,"urn:cite:ecod:codbod8.cb-0008_015v@0.8894,0.5271,0.0176,0.0132",omega
urn:cite:openpal:team3.51,[TextUrn]@κ[6],κ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7175,0.547,0.0151,0.0076",kappa
urn:cite:openpal:team3.52,[TextUrn]@ω[2],ω,"urn:cite:ecod:codbod8.cb-0008_015v@0.7313,0.5451,0.0151,0.0113",omega
urn:cite:openpal:team3.53,[TextUrn]@ν[3],ν,"urn:cite:ecod:codbod8.cb-0008_015v@0.7476,0.5451,0.0125,0.0113",nu
urn:cite:openpal:team3.54,[TextUrn]@ο[10],ο,"urn:cite:ecod:codbod8.cb-0008_015v@0.7589,0.5451,0.01,0.0113",omicron
urn:cite:openpal:team3.55,[TextUrn]@σ[5],σ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7664,0.5451,0.0138,0.0113",sigma
