ObservationId,TextUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@τ[1],τ,,tau
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@ι[1],ι,,iota
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@μ[1],μ,,mu
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@η[1],η,,eta
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@σ[1],σ,,sigma
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@η[2],η,,eta
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@ο[1],ο,,omicron
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@λ[1],λ,,lambda
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@ε[1],ε,,epsilon
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@σ[2],σ,,sigma
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@η[3],η,,eta
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@δε[1],δε,,abbreviation for δε
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@π[1],π,,pi
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@ο[2],ο,,omicron
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@λ[2],λ,,lambda
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@ε[3],ε,,epsilon
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@ασ[1],ασ,,abbreviation for fem. acc. pl. ending
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@ε[4],ε,,epsilon
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@π[2],π,,pi
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@ι[2],ι,,iota
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@ν[1],ν,,nu
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@η[4],η,,eta
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@υ[1],υ,,upsilon
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@σ[4],σ,,sigma
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@ιν[0],ιν,,abbreviation for dat. pl. ending
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@α[2],α,,alpha
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@χ[1],χ,,chi
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@α[3],α,,alpha
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@ι[6],ι,,iota
urn:cite:openpal:team1.1,urn:cts:greekLit:tlg0012.tlg001.msA:2.4@ων[1],ων,,abbreviation for gen. pl. ending


