ObservationId,TextUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team3.1,urn:cts:greekLit:tlg0012.tlg001.u4:24.559@τ[1],τ,"urn:cite:hmt:u4img.U4188RN-0379@0.1193,0.1749,0.0221,0.0177",tau
urn:cite:openpal:team3.2,urn:cts:greekLit:tlg0012.tlg001.u4:24.559@ο[1],ο,"urn:cite:hmt:u4img.U4188RN-0379@0.1339,0.1812,0.0095,0.0083",omicron
urn:cite:openpal:team3.3,urn:cts:greekLit:tlg0012.tlg001.u4:24.559@ν[1],ν,"urn:cite:hmt:u4img.U4188RN-0379@0.1409,0.1804,0.0073,0.0091",nu
urn:cite:openpal:team3.4,urn:cts:greekLit:tlg0012.tlg001.u4:24.559@δ[1],δ,"urn:cite:hmt:u4img.U4188RN-0379@0.1474,0.1765,0.01,0.013",delta
urn:cite:openpal:team3.5,urn:cts:greekLit:tlg0012.tlg001.u4:24.559@α[1],α,"urn:cite:hmt:u4img.U4188RN-0379@0.1544,0.1812,0.0108,0.0083",alpha
urn:cite:openpal:team3.6,urn:cts:greekLit:tlg0012.tlg001.u4:24.559@ρ[1],ρ,"urn:cite:hmt:u4img.U4188RN-0379@0.1633,0.1812,0.0095,0.012",rho
urn:cite:openpal:team3.7,urn:cts:greekLit:tlg0012.tlg001.u4:24.559@υ[1],υ,"urn:cite:hmt:u4img.U4188RN-0379@0.1725,0.1794,0.0165,0.0091",upsilon
urn:cite:openpal:team3.8,urn:cts:greekLit:tlg0012.tlg001.u4:24.559@π[1],π,"urn:cite:hmt:u4img.U4188RN-0379@0.1803,0.1794,0.0194,0.0069",pi
urn:cite:openpal:team3.9,urn:cts:greekLit:tlg0012.tlg001.u4:24.559@ο[2],ο,"urn:cite:hmt:u4img.U4188RN-0379@0.1952,0.1781,0.0103,0.0071",omicron
urn:cite:openpal:team3.10,urn:cts:greekLit:tlg0012.tlg001.u4:24.559@δ[2],δ,"urn:cite:hmt:u4img.U4188RN-0379@0.2054,0.1735,0.01,0.0118",delta
urn:cite:openpal:team3.11,urn:cts:greekLit:tlg0012.tlg001.u4:24.559@ρ[2],ρ,"urn:cite:hmt:u4img.U4188RN-0379@0.2116,0.1767,0.0097,0.0116",rho
urn:cite:openpal:team3.12,urn:cts:greekLit:tlg0012.tlg001.u4:24.559@α[2],α,"urn:cite:hmt:u4img.U4188RN-0379@0.2192,0.1767,0.0149,0.0071",alpha
