ObservationId,TextUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team2.1,urn:cts:greekLit:tlg0012.tlg001.msA:5.538@ν[1],ν,"urn:cite:hmt:vaimg.VA073RN-0074@0.1863,0.2522,0.0093,0.0097",nu
urn:cite:openpal:team2.2,urn:cts:greekLit:tlg0012.tlg001.msA:5.538@ει[1],ει,"urn:cite:hmt:vaimg.VA073RN-0074@0.1952,0.2522,0.01,0.0097",epsilon-iota ligature
urn:cite:openpal:team2.3,urn:cts:greekLit:tlg0012.tlg001.msA:5.538@α[1],α,"urn:cite:hmt:vaimg.VA073RN-0074@0.2045,0.2522,0.0107,0.0097",alpha
urn:cite:openpal:team2.4,urn:cts:greekLit:tlg0012.tlg001.msA:5.538@ι[2],ι,"urn:cite:hmt:vaimg.VA073RN-0074@0.2141,0.2522,0.007,0.0086",iota
urn:cite:openpal:team2.5,urn:cts:greekLit:tlg0012.tlg001.msA:5.538@ρ[1],ρ,"urn:cite:hmt:vaimg.VA073RN-0074@0.22,0.2522,0.0104,0.0095",rho
urn:cite:openpal:team2.6,urn:cts:greekLit:tlg0012.tlg001.msA:5.538@η[1],η,"urn:cite:hmt:vaimg.VA073RN-0074@0.2289,0.2522,0.0096,0.0086",eta
urn:cite:openpal:team2.7,urn:cts:greekLit:tlg0012.tlg001.msA:5.538@ι[3],ι,"urn:cite:hmt:vaimg.VA073RN-0074@0.2374,0.2522,0.0052,0.0086",iota
urn:cite:openpal:team2.8,urn:cts:greekLit:tlg0012.tlg001.msA:5.538@δ[1],δ,"urn:cite:hmt:vaimg.VA073RN-0074@0.2437,0.2502,0.0122,0.01",delta
urn:cite:openpal:team2.9,urn:cts:greekLit:tlg0012.tlg001.msA:5.538@ε[2],ε,"urn:cite:hmt:vaimg.VA073RN-0074@0.2515,0.2533,0.0089,0.007",epsilon
urn:cite:openpal:team2.10,urn:cts:greekLit:tlg0012.tlg001.msA:5.538@ν[2],ν,"urn:cite:hmt:vaimg.VA073RN-0074@0.2596,0.2524,0.0093,0.0078",nu
urn:cite:openpal:team2.11,urn:cts:greekLit:tlg0012.tlg001.msA:5.538@γ[1],γ,"urn:cite:hmt:vaimg.VA073RN-0074@0.2678,0.2524,0.0074,0.0078",gamma
urn:cite:openpal:team2.12,urn:cts:greekLit:tlg0012.tlg001.msA:5.538@α[2],α,"urn:cite:hmt:vaimg.VA073RN-0074@0.2733,0.2524,0.0089,0.0078",alpha
urn:cite:openpal:team2.13,urn:cts:greekLit:tlg0012.tlg001.msA:5.538@στ[1],στ,"urn:cite:hmt:vaimg.VA073RN-0074@0.2804,0.2524,0.0096,0.01",sigma-tau ligature
