ObservationId,TextUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team3.1,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@τ[1],τ,"urn:cite:hmt:vgf64img.VGF64_1447@0.058,0.7065,0.022,0.0289",tau
urn:cite:openpal:team3.2,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@ι[1],ι,"urn:cite:hmt:vgf64img.VGF64_1447@0.075,0.7182,0.015,0.0172",iota
urn:cite:openpal:team3.3,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@μ[1],μ,"urn:cite:hmt:vgf64img.VGF64_1447@0.084,0.7189,0.023,0.0179",mu
urn:cite:openpal:team3.4,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@η[1],η,"urn:cite:hmt:vgf64img.VGF64_1447@0.101,0.7203,0.019,0.0165",eta
urn:cite:openpal:team3.5,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@σ[1],σ,"urn:cite:hmt:vgf64img.VGF64_1447@0.115,0.7251,0.017,0.0124",sigma
urn:cite:openpal:team3.6,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@η[2],η,"urn:cite:hmt:vgf64img.VGF64_1447@0.125,0.7196,0.024,0.0179",eta
urn:cite:openpal:team3.7,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@ο[1],ο,"urn:cite:hmt:vgf64img.VGF64_1447@0.159,0.7265,0.017,0.0124",omicron
urn:cite:openpal:team3.8,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@λ[1],λ,"urn:cite:hmt:vgf64img.VGF64_1447@0.166,0.723,0.031,0.0213",lambda
urn:cite:openpal:team3.9,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@ε[1],ε,"urn:cite:hmt:vgf64img.VGF64_1447@0.19,0.7265,0.013,0.0137",epsilon
urn:cite:openpal:team3.10,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@σ[2],σ,"urn:cite:hmt:vgf64img.VGF64_1447@0.202,0.7265,0.019,0.0137",sigma
urn:cite:openpal:team3.11,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@η[3],η,"urn:cite:hmt:vgf64img.VGF64_1447@0.215,0.7271,0.015,0.0137",eta
urn:cite:openpal:team3.12,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@δ[1],δ,"urn:cite:hmt:vgf64img.VGF64_1447@0.226,0.7182,0.018,0.0247",delta
urn:cite:openpal:team3.13,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@ε[2],ε,"urn:cite:hmt:vgf64img.VGF64_1447@0.236,0.7292,0.014,0.0158",epsilon
urn:cite:openpal:team3.14,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@π[1],π,"urn:cite:hmt:vgf64img.VGF64_1447@0.251,0.7278,0.02,0.0151",pi
urn:cite:openpal:team3.15,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@ο[2],ο,"urn:cite:hmt:vgf64img.VGF64_1447@0.266,0.7292,0.015,0.0117",omicron
urn:cite:openpal:team3.16,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@λ[2],λ,"urn:cite:hmt:vgf64img.VGF64_1447@0.277,0.7271,0.02,0.0179",lambda
urn:cite:openpal:team3.17,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@λ[3],λ,"urn:cite:hmt:vgf64img.VGF64_1447@0.29,0.7271,0.017,0.0179",lambda
urn:cite:openpal:team3.18,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@ε[3],ε,"urn:cite:hmt:vgf64img.VGF64_1447@0.302,0.7285,0.017,0.0165",epsilon
urn:cite:openpal:team3.19,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@α[1],α,"urn:cite:hmt:vgf64img.VGF64_1447@0.316,0.7285,0.02,0.0165",alpha
urn:cite:openpal:team3.20,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@σ[3],σ,"urn:cite:hmt:vgf64img.VGF64_1447@0.333,0.7306,0.012,0.0151",sigma
urn:cite:openpal:team3.21,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@επ[1],επ,"urn:cite:hmt:vgf64img.VGF64_1447@0.338,0.7162,0.039,0.033",epsilon-pi ligature
urn:cite:openpal:team3.22,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@ι[2],ι,"urn:cite:hmt:vgf64img.VGF64_1447@0.371,0.7333,0.011,0.0117",iota
urn:cite:openpal:team3.23,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@ν[1],ν,"urn:cite:hmt:vgf64img.VGF64_1447@0.382,0.7299,0.017,0.0179",nu
urn:cite:openpal:team3.24,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@η[4],η,"urn:cite:hmt:vgf64img.VGF64_1447@0.395,0.7306,0.015,0.0151",eta
urn:cite:openpal:team3.25,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@υ[1],υ,"urn:cite:hmt:vgf64img.VGF64_1447@0.406,0.732,0.02,0.0144",upsilon
urn:cite:openpal:team3.26,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@σ[4],σ,"urn:cite:hmt:vgf64img.VGF64_1447@0.418,0.732,0.014,0.0144",sigma
urn:cite:openpal:team3.27,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@ι[3],ι,"urn:cite:hmt:vgf64img.VGF64_1447@0.427,0.7326,0.011,0.0137",iota
urn:cite:openpal:team3.28,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@ν[2],ν,"urn:cite:hmt:vgf64img.VGF64_1447@0.433,0.7326,0.016,0.0179",nu
urn:cite:openpal:team3.29,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@α[2],α,"urn:cite:hmt:vgf64img.VGF64_1447@0.445,0.7278,0.027,0.0158",alpha
urn:cite:openpal:team3.30,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@χ[1],χ,"urn:cite:hmt:vgf64img.VGF64_1447@0.446,0.7292,0.038,0.0296",chi
urn:cite:openpal:team3.31,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@α[3],α,"urn:cite:hmt:vgf64img.VGF64_1447@0.475,0.7313,0.018,0.0131",alpha
urn:cite:openpal:team3.32,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@ι[4],ι,"urn:cite:hmt:vgf64img.VGF64_1447@0.489,0.7313,0.011,0.0131",iota
urn:cite:openpal:team3.33,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@ω[1],ω,"urn:cite:hmt:vgf64img.VGF64_1447@0.497,0.7326,0.023,0.0131",omega
urn:cite:openpal:team3.34,urn:cts:greekLit:tlg0012.tlg001.vgf64:2.4@ν[3],ν,"urn:cite:hmt:vgf64img.VGF64_1447@0.514,0.7326,0.014,0.0137",nu
